,type_true,R_MUC,P_MUC,F1_MUC,R_B3,P_B3,F1_B3,R_CEAF_E,P_CEAF_E,F1_CEAF_E,F1_CONLL,Support,step,config
PZiQV9wD8fTpATESRMjdQ9,GROUP,0.17037037,0.594827586,0.26487524,0.047975788,0.878797435,0.090984501,0.325451873,0.011588791,0.022380645,0.126080128,417,init,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
ZTHRmMG8DgaZhuHxhsJUgV,MISC,0.057142857,0.216666667,0.090434783,0.037288797,0.823179272,0.071345737,0.17437156,0.006326406,0.012209825,0.057996782,471,init,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
TAQmwqY6nhyNPfPg9DY9QP,OBJECT,0.237875289,0.936363636,0.379373849,0.089312513,0.981111111,0.163721161,0.321991922,0.013258491,0.025468288,0.189521099,447,init,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
WEgwX4S4x5LBg9wzmNiRPz,ACTION,0,0,0,0.041666667,0.987603306,0.079959853,0.088623855,0.003692661,0.007089908,0.029016587,120,step0,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
GjJpqyp7fPoCMC5J7KY2j4,ACTOR,0.835742444,0.880886427,0.857720836,0.657475909,0.860431059,0.745385198,0.783920538,0.193295475,0.310122411,0.637742815,797,step0,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
PTrooKLdRTzaXS7TXgPMZk,COUNTRY,0.44765343,0.589073634,0.508717949,0.180251054,0.684446716,0.28535344,0.504354051,0.037889703,0.070484262,0.288185217,1153,step0,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
WkCzChgMCnGgpnpoJC3CJr,EVENT,0.14025974,0.435483871,0.212180747,0.086316788,0.821576742,0.156220665,0.292595792,0.017966408,0.033854059,0.134085157,406,step0,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
PZiQV9wD8fTpATESRMjdQ9,GROUP,0.328395062,0.642512077,0.434640523,0.078913972,0.775763168,0.143255389,0.365503659,0.016244607,0.031106694,0.203000869,417,step0,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
ZTHRmMG8DgaZhuHxhsJUgV,MISC,0.057142857,0.203125,0.089193825,0.037288797,0.811596927,0.071301641,0.17437156,0.006326406,0.012209825,0.05756843,471,step0,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
TAQmwqY6nhyNPfPg9DY9QP,OBJECT,0.247113164,0.938596491,0.391224863,0.098820343,0.981111111,0.179555353,0.336714719,0.01402978,0.026937178,0.199239131,447,step0,NewsWCL_2019_annotated_multi_doc_tca_default_word2vec
