,dataset,origin_type,coref_strategy,identification_method,parameters,wordvectors,index,time,mentions_num,avg_time,config
2,NewsWCL_2019,annotated,no_coref,lemma,default,not_specified,2_NorthKoreaNuclearStopAnnouncement,4.122755563,544,0.007578595,NewsWCL_2019_annotated_no_coref_lemma_default_not_specified
3,NewsWCL_2019,annotated,no_coref,lemma,default,not_specified,3_DemocratsSueRUTrump,5.729503655,768,0.007460291,NewsWCL_2019_annotated_no_coref_lemma_default_not_specified
4,NewsWCL_2019,annotated,no_coref,lemma,default,not_specified,4_TrumpDealIran,4.192555371,502,0.008351704,NewsWCL_2019_annotated_no_coref_lemma_default_not_specified
5,NewsWCL_2019,annotated,no_coref,lemma,default,not_specified,5_TrumpVisitUnitedKingdom,2.987261098,382,0.007820055,NewsWCL_2019_annotated_no_coref_lemma_default_not_specified
6,NewsWCL_2019,annotated,no_coref,lemma,default,not_specified,6_Asylum-SeekingMigrantCaravan,4.023845114,470,0.008561373,NewsWCL_2019_annotated_no_coref_lemma_default_not_specified
7,NewsWCL_2019,annotated,no_coref,lemma,default,not_specified,7_TrumpDelaysTariff,3.697195104,476,0.007767217,NewsWCL_2019_annotated_no_coref_lemma_default_not_specified
8,NewsWCL_2019,annotated,no_coref,lemma,default,not_specified,8_MuellerQuestionsTrump,4.202710985,446,0.009423119,NewsWCL_2019_annotated_no_coref_lemma_default_not_specified
9,NewsWCL_2019,annotated,no_coref,lemma,default,not_specified,9_Iranfiles,3.227988549,427,0.007559692,NewsWCL_2019_annotated_no_coref_lemma_default_not_specified
0,NewsWCL_2019,annotated,one_doc,eecdcr,default,elmo,0_CIADirectorMikePompeoMeetingNorthKorea,1305.933697,407,3.208682301,NewsWCL_2019_annotated_one_doc_eecdcr_default_elmo
1,NewsWCL_2019,annotated,one_doc,eecdcr,default,elmo,1_ComeyMemo,1204.537431,372,3.238003846,NewsWCL_2019_annotated_one_doc_eecdcr_default_elmo
2,NewsWCL_2019,annotated,one_doc,eecdcr,default,elmo,2_NorthKoreaNuclearStopAnnouncement,1468.373942,432,3.399013755,NewsWCL_2019_annotated_one_doc_eecdcr_default_elmo
3,NewsWCL_2019,annotated,one_doc,eecdcr,default,elmo,3_DemocratsSueRUTrump,2927.017314,604,4.846055155,NewsWCL_2019_annotated_one_doc_eecdcr_default_elmo
4,NewsWCL_2019,annotated,one_doc,eecdcr,default,elmo,4_TrumpDealIran,1188.905545,351,3.387195286,NewsWCL_2019_annotated_one_doc_eecdcr_default_elmo
5,NewsWCL_2019,annotated,one_doc,eecdcr,default,elmo,5_TrumpVisitUnitedKingdom,846.0787715,296,2.858374228,NewsWCL_2019_annotated_one_doc_eecdcr_default_elmo
